Div_x,Date,Time,HomeTeam,AwayTeam,oddsHome,oddsDrawn,oddsAway,GoalHome,GoalAway,Result,Div_y,B365H,B365D,B365A
F1,16/01,18:00,Toulouse,Lyon,21,30,49,2,2,1,F1,5.25,3.75,1.66
F1,16/01,18:00,Guingamp,Rennes,28,31,41,2,1,0,F1,2.87,3.2,2.55
F1,15/01,18:00,Angers,Bordeaux,36,32,32,1,2,2,F1,2.5,3.0,3.0
,13/01,20:00,Marseille,Monaco,49,29,22,1,1,1,F1,1.57,4.0,6.0
SP1,13/01,17:30,Barcelona,Eibar,83,12,5,3,0,0,SP1,1.12,9.0,21.0
E0,13/01,16:30,Tottenham,Man United,50,28,22,0,1,2,E0,2.05,3.7,3.75
F1,13/01,16:00,Toulouse,Strasbourg,40,32,28,1,2,2,F1,2.5,3.2,3.0
E0,13/01,14:15,Everton,Bournemouth,50,27,23,2,0,0,E0,1.75,4.0,4.8
F1,13/01,14:00,Nantes,Rennes,38,32,30,0,1,2,F1,2.55,3.3,2.8
E0,12/01,17:30,Chelsea,Newcastle,74,18,8,2,1,0,E0,1.22,7.0,15.0
SP1,12/01,15:15,Valencia,Valladolid,62,23,15,1,1,1,SP1,1.53,4.0,7.0
E0,12/01,15:00,Brighton,Liverpool,14,22,64,0,1,2,E0,11.0,6.0,1.3
E0,12/01,15:00,Crystal Palace,Watford,45,28,27,1,2,2,E0,2.25,3.4,3.5
E0,12/01,12:30,West Ham,Arsenal,25,28,47,1,0,0,E0,3.5,4.0,2.05
SP1,12/01,12:00,Leganes,Huesca,51,27,22,1,0,0,SP1,1.95,3.25,4.33
F1,08/01,18:00,Nantes,Montpellier,39,31,30,2,0,0,F1,2.6,3.1,2.9
SP1,06/01,11:00,Eibar,Villarreal,40,29,31,0,0,1,SP1,2.1,3.25,3.5
SP1,04/01,18:00,Levante,Girona,48,27,25,2,2,1,SP1,2.15,3.5,3.3
SP1,03/01,20:30,Villarreal,Real Madrid,25,28,47,2,2,1,SP1,3.8,3.8,1.85
E0,02/01,20:00,Newcastle,Man United,19,26,55,0,2,2,E0,6.0,4.2,1.61
E0,02/01,19:45,Wolves,Crystal Palace,52,27,21,0,2,2,E0,2.0,3.4,4.33
E0,02/01,19:45,Chelsea,Southampton,77,16,7,0,0,1,E0,1.28,6.5,11.0
E0,02/01,19:45,Bournemouth,Watford,47,28,25,3,3,1,E0,2.6,3.6,2.75
E0,02/01,19:45,West Ham,Brighton,48,28,24,2,2,1,E0,1.95,3.75,4.0
E0,01/01,15:00,Arsenal,Fulham,71,19,10,4,1,0,E0,1.33,5.75,9.5
E0,30/12,16:30,Man United,Bournemouth,68,21,11,4,1,0,E0,1.33,4.75,10.0
E0,30/12,12:00,Crystal Palace,Chelsea,18,26,56,0,1,2,E0,4.75,4.0,1.66
E0,29/12,17:30,Liverpool,Arsenal,58,25,17,5,1,0,E0,1.5,4.5,5.75
I1,29/12,17:00,Napoli,Bologna,86,11,3,3,2,0,I1,1.28,5.5,10.0
E0,29/12,15:00,Brighton,Everton,35,29,36,1,0,0,E0,3.25,3.4,2.14
E0,29/12,15:00,Tottenham,Wolves,74,18,8,1,3,2,E0,1.33,5.0,8.5
E0,29/12,15:00,Watford,Newcastle,45,28,27,1,1,1,E0,1.85,3.6,4.0
E0,29/12,15:00,Fulham,Huddersfield,53,27,20,1,0,0,E0,2.0,3.4,3.75
I1,29/12,14:00,Sassuolo,Atalanta,36,32,32,2,6,2,I1,3.4,3.5,2.04
I1,29/12,14:00,Genoa,Fiorentina,28,32,40,0,0,1,I1,2.54,3.25,2.7
I1,29/12,14:00,Udinese,Cagliari,40,31,29,2,0,0,I1,2.3,3.1,3.2
I1,29/12,14:00,Lazio,Torino,54,28,18,1,1,1,I1,1.75,3.6,4.6
I1,29/12,14:00,Chievo,Frosinone,46,30,24,1,0,0,I1,2.3,3.0,3.4
I1,29/12,14:00,Parma,Roma,20,29,51,0,2,2,I1,4.75,3.8,1.7
I1,29/12,11:30,Juventus,Sampdoria,83,13,4,2,1,0,I1,1.2,6.5,13.0
E0,27/12,19:45,Southampton,West Ham,37,29,34,1,2,2,E0,2.3,3.5,3.3
E0,26/12,19:30,Watford,Chelsea,19,26,55,1,2,2,E0,5.25,3.8,1.75
E0,26/12,17:15,Brighton,Arsenal,21,26,53,1,1,1,E0,5.25,3.9,1.72
I1,26/12,17:00,Roma,Sassuolo,64,24,12,3,1,0,I1,1.61,4.0,5.25
I1,26/12,17:00,Torino,Empoli,55,28,17,3,0,0,I1,1.7,3.8,5.0
E0,26/12,15:00,Liverpool,Newcastle,81,14,5,4,0,0,E0,1.16,8.5,19.0
E0,26/12,15:00,Man United,Huddersfield,80,15,5,3,1,0,E0,1.25,6.5,15.0
E0,26/12,15:00,Tottenham,Bournemouth,75,17,8,5,0,0,E0,1.36,5.5,9.0
I1,26/12,14:00,Atalanta,Juventus,13,25,62,2,2,1,I1,4.75,3.5,1.8
I1,26/12,14:00,Sampdoria,Chievo,58,27,15,2,0,0,I1,1.75,3.7,5.0
I1,26/12,14:00,Bologna,Lazio,20,29,51,0,2,2,I1,5.0,3.8,1.72
I1,26/12,14:00,Cagliari,Genoa,44,31,25,1,0,0,I1,2.3,3.2,3.3
I1,26/12,14:00,Fiorentina,Parma,61,26,13,0,1,2,I1,1.6,3.8,6.0
E0,26/12,12:30,Fulham,Wolves,35,29,36,1,1,1,E0,3.25,3.4,2.37
E0,23/12,16:00,Everton,Tottenham,22,26,52,2,6,2,E0,3.25,3.5,2.3
SP1,23/12,15:15,Leganes,Sevilla,28,29,43,1,1,1,SP1,3.4,3.2,2.25
SP1,23/12,11:00,Valencia,Huesca,68,21,11,2,1,0,SP1,1.4,4.75,8.0
F1,22/12,20:00,Angers,Marseille,26,30,44,1,1,1,F1,3.75,3.4,2.04
,22/12,20:00,Monaco,Guingamp,67,22,11,0,2,2,F1,1.9,3.5,4.33
F1,22/12,20:00,Montpellier,Lyon,31,31,38,1,1,1,F1,3.3,3.3,2.25
I1,22/12,19:30,Juventus,Roma,68,22,10,1,0,0,I1,1.44,4.33,8.0
I1,22/12,17:00,Parma,Bologna,50,30,20,0,0,1,I1,2.54,3.1,3.0
E0,22/12,15:00,Newcastle,Fulham,48,28,24,0,0,1,E0,2.0,3.6,4.0
E0,22/12,15:00,Bournemouth,Brighton,46,28,26,2,0,0,E0,1.9,3.7,4.33
E0,22/12,15:00,West Ham,Watford,52,27,21,0,2,2,E0,2.37,3.5,3.1
E0,22/12,15:00,Huddersfield,Southampton,36,29,35,1,3,2,E0,3.1,3.1,2.6
I1,22/12,14:00,Udinese,Frosinone,48,30,22,1,1,1,I1,1.7,3.7,5.25
I1,22/12,14:00,Empoli,Sampdoria,39,32,29,2,4,2,I1,2.3,3.4,3.1
I1,22/12,14:00,Sassuolo,Torino,40,32,28,1,1,1,I1,2.62,3.2,2.8
I1,22/12,14:00,Genoa,Atalanta,27,31,42,3,1,0,I1,4.0,3.6,1.9
I1,22/12,11:30,Lazio,Cagliari,65,24,11,3,1,0,I1,1.33,5.0,9.0
E0,21/12,20:00,Wolves,Liverpool,16,25,59,0,2,2,E0,7.0,4.0,1.57
F1,18/12,18:30,Caen,Toulouse,41,31,28,2,1,0,F1,2.5,3.1,3.1
I1,17/12,19:30,Atalanta,Lazio,37,32,31,1,0,0,I1,2.37,3.39,3.0
I1,17/12,19:30,Atalanta,Lazio,37,32,31,1,0,0,I1,2.2,3.6,3.1
