Athlete,Pos,Date,Team,Opp,Game Result,MP,FG,FGA,FG%,2P,2PA,2P%,3A,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Damian Lillard,G,2020-01-20,POR,GSW,W,45,17,37,.459,6,17,.353,11,37,.550,16,16,1.000,0,10,10,7,1,0,2,1,61
James Harden,G,2019-11-30,HOU,ATL,W,31,16,24,.667,8,10,.800,8,24,.571,20,23,.870,0,3,3,8,3,1,5,3,60
Damian Lillard,G,2019-11-08,POR,BRK,L,40,19,33,.576,12,17,.706,7,33,.438,15,15,1.000,0,4,4,5,0,0,2,1,60
James Harden,G,2019-10-30,HOU,WAS,W,38,18,32,.563,12,18,.667,6,32,.429,17,18,.944,1,2,3,9,1,0,4,3,59
Bradley Beal,G,2020-02-24,WAS,MIL,L,41,19,33,.576,11,20,.550,8,33,.615,9,10,.900,1,1,2,3,0,0,9,4,55
James Harden,G,2019-12-11,HOU,CLE,W,41,20,34,.588,10,16,.625,10,34,.556,5,5,1.000,0,3,3,8,2,2,6,3,55
James Harden,G,2019-12-13,HOU,ORL,W,36,19,31,.613,9,16,.563,10,31,.667,6,6,1.000,2,3,5,7,2,3,3,5,54
Kyrie Irving,G,2020-01-31,BRK,CHI,W,32,19,23,.826,12,14,.857,7,23,.778,9,10,.900,0,5,5,5,1,0,4,3,54
Bradley Beal,G,2020-02-23,WAS,CHI,L,39,15,27,.556,10,16,.625,5,27,.455,18,20,.900,2,3,5,4,2,1,7,5,53
T.J. Warren,F,2020-08-01,IND,PHI,W,41,20,29,.690,11,17,.647,9,29,.750,4,4,1.000,0,4,4,3,0,2,1,4,53
D'Angelo Russell,G,2019-11-08,GSW,MIN,L,40,19,37,.514,12,20,.600,7,37,.412,7,8,.875,0,9,9,5,3,2,3,0,52
Caris LeVert,G-F,2020-03-03,BRK,BOS,W,36,17,26,.654,12,16,.750,5,26,.500,12,18,.667,3,1,4,5,1,0,3,1,51
Damian Lillard,G,2020-02-01,POR,UTA,W,36,17,29,.586,8,14,.571,9,29,.600,8,8,1.000,0,2,2,12,1,0,2,2,51
Khris Middleton,F-G,2020-01-28,MIL,WAS,W,36,16,26,.615,9,16,.563,7,26,.700,12,12,1.000,1,9,10,6,0,0,2,2,51
Giannis Antetokounmpo,F-G,2019-11-25,MIL,UTA,W,39,17,31,.548,14,23,.609,3,31,.375,13,19,.684,6,8,14,6,2,0,0,1,50
Anthony Davis,F-C,2019-12-08,LAL,MIN,W,39,20,29,.690,20,27,.741,0,29,.000,10,10,1.000,3,4,7,6,4,1,1,1,50
Eric Gordon,G,2020-01-27,HOU,UTA,W,38,14,22,.636,8,11,.727,6,22,.545,16,20,.800,0,6,6,3,2,1,2,0,50
James Harden,G,2019-12-03,HOU,SAS,L,49,11,37,.297,7,17,.412,4,37,.200,24,24,1.000,3,6,9,6,4,0,5,4,50
Kyrie Irving,G,2019-10-23,BRK,MIN,L,38,17,33,.515,10,19,.526,7,33,.500,9,10,.900,2,6,8,7,0,1,0,4,50
Damian Lillard,G,2020-01-26,POR,IND,W,38,14,23,.609,6,11,.545,8,23,.667,14,16,.875,0,6,6,13,1,0,1,0,50
Trae Young,G,2020-02-20,ATL,MIA,W,40,12,25,.480,4,10,.400,8,25,.533,18,19,.947,0,2,2,8,2,1,7,4,50
Joel Embiid,C,2020-02-24,PHI,ATL,W,36,17,24,.708,16,21,.762,1,24,.333,14,15,.933,4,10,14,3,3,1,4,4,49
James Harden,G,2019-11-16,HOU,MIN,W,39,16,41,.390,8,19,.421,8,41,.364,9,11,.818,1,5,6,6,0,0,5,4,49
James Harden,G,2020-07-31,HOU,DAL,W,43,14,20,.700,11,11,1.000,3,20,.333,18,21,.857,0,9,9,8,3,3,1,5,49
Brandon Ingram,F,2020-01-16,NOP,UTA,W,41,15,25,.600,12,17,.706,3,25,.375,16,20,.800,1,7,8,6,0,1,4,3,49
Zach LaVine,G,2019-11-23,CHI,CHO,W,35,17,28,.607,4,11,.364,13,28,.765,2,2,1.000,0,4,4,0,2,0,4,5,49
Trae Young,G,2019-11-29,ATL,IND,L,43,16,28,.571,8,13,.615,8,28,.533,9,9,1.000,0,1,1,6,2,0,9,1,49
Giannis Antetokounmpo,F-G,2019-12-16,MIL,DAL,L,34,18,31,.581,17,25,.680,1,31,.167,11,16,.688,4,10,14,4,1,1,3,3,48
